SPRINT 2 - RATIO EDGE CASE LOG
======================================================================
BAJAJFINSV | 2014 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=23.5288, difference=11.8088
BAJAJFINSV | 2015 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=14.7563, difference=6.3837
BAJAJFINSV | 2015 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=21.7242, difference=10.0042
BAJAJFINSV | 2016 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=13.5700, difference=7.5700
BAJAJFINSV | 2016 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=20.4059, difference=8.6859
BAJAJFINSV | 2017 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=13.5226, difference=7.6174
BAJAJFINSV | 2017 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=21.3609, difference=9.6409
BAJAJFINSV | 2018 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=12.5194, difference=8.6206
BAJAJFINSV | 2018 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=20.3876, difference=8.6676
BAJAJFINSV | 2019 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=12.1779, difference=8.9621
BAJAJFINSV | 2019 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=22.6369, difference=10.9169
BAJAJFINSV | 2020 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=11.5182, difference=9.6218
BAJAJFINSV | 2020 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=19.1489, difference=7.4289
BAJAJFINSV | 2021 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=11.9507, difference=9.1893
BAJAJFINSV | 2021 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=20.5610, difference=8.8410
BAJAJFINSV | 2022 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=10.6555, difference=10.4845
BAJAJFINSV | 2022 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=20.6574, difference=8.9374
BAJAJFINSV | 2023 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=11.5471, difference=9.5929
BAJAJFINSV | 2023 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=26.3107, difference=14.5907
BAJAJFINSV | 2024 | VERSION_DIFFERENCE | ROCE source=21.1400, calculated=10.5638, difference=10.5762
BAJAJFINSV | 2024 | VERSION_DIFFERENCE | ROE source=11.7200, calculated=22.8247, difference=11.1047
BAJAJHLDNG | 2013 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=3.1416, difference=9.9584
BAJAJHLDNG | 2014 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=3.3753, difference=9.7247
BAJAJHLDNG | 2015 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=3.8752, difference=9.2248
BAJAJHLDNG | 2016 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=2.8510, difference=10.2490
BAJAJHLDNG | 2017 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=3.5694, difference=9.5306
BAJAJHLDNG | 2022 | VERSION_DIFFERENCE | ROE source=14.8000, calculated=9.6307, difference=5.1693
BAJFINANCE | 2015 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=5.6493, difference=6.2507
BAJFINANCE | 2016 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=5.3563, difference=6.5437
BAJFINANCE | 2017 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=5.5718, difference=6.3282
BAJFINANCE | 2018 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=5.0312, difference=6.8688
BAJFINANCE | 2018 | VERSION_DIFFERENCE | ROE source=22.1000, calculated=15.7496, difference=6.3504
BAJFINANCE | 2019 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=4.5249, difference=7.3751
BAJFINANCE | 2020 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=5.6669, difference=6.2331
BAJFINANCE | 2020 | VERSION_DIFFERENCE | ROE source=22.1000, calculated=16.2831, difference=5.8169
